 ,
,
,
,
,
,
,
,
10/18/2015,0
10/19/2015,0
10/20/2015,0
10/21/2015,0.08
10/22/2015,0
10/23/2015,0
10/24/2015,0.74
10/25/2015,0
10/26/2015,0
10/27/2015,T
10/28/2015,0.3
10/29/2015,0.55
10/30/2015,0.06
10/31/2015,T
11/1/2015,0.03
11/2/2015,0.2
11/3/2015,0
11/4/2015,T
11/5/2015,T
11/6/2015,M
11/7/2015,0.15
11/8/2015,0
11/9/2015,0
11/10/2015,0
11/11/2015,0
11/12/2015,0.25
11/13/2015,0.6
11/14/2015,0
11/15/2015,0
11/16/2015,0
11/17/2015,0.64
11/18/2015,0.77
11/19/2015,0.19
11/20/2015,0.06
11/21/2015,0
11/22/2015,0
11/23/2015,T
11/24/2015,0.03
11/25/2015,0
11/26/2015,T
11/27/2015,0.03
11/28/2015,M
11/29/2015,0
11/30/2015,0
12/1/2015,T
12/2/2015,0.3
12/3/2015,0
12/4/2015,0
12/5/2015,0
12/6/2015,0
12/7/2015,0
12/8/2015,0
12/9/2015,0
12/10/2015,0.28
12/11/2015,0.5
12/12/2015,0
12/13/2015,0.02
12/14/2015,0.25
12/15/2015,0.03
12/16/2015,T
12/17/2015,0.3
12/18/2015,0.18
12/19/2015,T
12/20/2015,0
12/21/2015,0
12/22/2015,0
12/23/2015,T
12/24/2015,0.13
12/25/2015,T
12/26/2015,0.03
12/27/2015,0.1
12/28/2015,0
12/29/2015,0
12/30/2015,0
12/31/2015,M
1/1/2016,T
1/2/2016,T
1/3/2016,M
1/4/2016,T
1/5/2016,0
1/6/2016,M
1/7/2016,0.02
1/8/2016,0.1
1/9/2016,T
1/10/2016,T
1/11/2016,M
1/12/2016,0.02
1/13/2016,0
1/14/2016,T
1/15/2016,0.23
1/16/2016,0.04
1/17/2016,0
1/18/2016,0
1/19/2016,0
1/20/2016,M
1/21/2016,M
1/22/2016,0.05
1/23/2016,T
1/24/2016,0.05
1/25/2016,0
1/26/2016,0.07
1/27/2016,M
1/28/2016,0.2
1/29/2016,T
1/30/2016,0.09
1/31/2016,0
2/1/2016,M
2/2/2016,0
2/3/2016,0.03
2/4/2016,T
2/5/2016,T
2/6/2016,0
2/7/2016,0.23
2/8/2016,0.06
2/9/2016,T
2/10/2016,M
2/11/2016,0
2/12/2016,0
2/13/2016,0
2/14/2016,0
2/15/2016,M
2/16/2016,0
2/17/2016,0
2/18/2016,0
2/19/2016,0.19
2/20/2016,0.75
2/21/2016,T
2/22/2016,M
2/23/2016,T
2/24/2016,0.18
2/25/2016,M
2/26/2016,T
2/27/2016,0
2/28/2016,T
2/29/2016,0.16
3/1/2016,0
3/2/2016,0
3/3/2016,T
3/4/2016,0
3/5/2016,0.07
3/6/2016,0
3/7/2016,0
3/8/2016,0.05
3/9/2016,0.23
3/10/2016,0
3/11/2016,0
3/12/2016,0
3/13/2016,M
3/14/2016,0.07
3/15/2016,0
3/16/2016,1.66
3/17/2016,0.58
3/18/2016,T
3/19/2016,0
3/20/2016,0
3/21/2016,0
3/22/2016,0
3/23/2016,0
3/24/2016,0
3/25/2016,0
3/26/2016,0.22
3/27/2016,T
3/28/2016,M
3/29/2016,0
3/30/2016,0.02
