----------------------------------------------
PZ-Out TotHead [m]: 
    2016/06/16 03:45:00 428.705750 
    2016/06/16 04:00:00 428.708080 
    2016/06/16 04:15:00 428.708080 
    2016/06/16 04:30:00 428.706580 
    2016/06/16 04:45:00 428.708660 
    2016/06/16 05:00:00 428.705410 
    2016/06/16 05:15:00 428.707160 
    2016/06/16 05:30:00 428.705410 
    2016/06/16 05:45:00 428.706910 
    2016/06/16 06:00:00 428.707750 
    2016/06/16 06:15:00 428.705160 
    2016/06/16 06:30:00 428.709250 
    2016/06/16 06:45:00 428.709250 
    2016/06/16 07:00:00 428.709830 
    2016/06/16 07:15:00 428.709830 
    2016/06/16 07:30:00 428.709830 
    2016/06/16 07:45:00 428.709830 
    2016/06/16 08:00:00 428.706330 
    2016/06/16 08:15:00 428.708660 
    2016/06/16 08:30:00 428.706910 
    2016/06/16 08:45:00 428.710410 
    2016/06/16 09:00:00 428.704000 
    2016/06/16 09:15:00 428.702250 
    2016/06/16 09:30:00 428.704250 
    2016/06/16 09:45:00 428.704000 
    2016/06/16 10:00:00 428.706000 
    2016/06/16 10:15:00 428.702500 
    2016/06/16 10:30:00 428.702250 
    2016/06/16 10:45:00 428.702500 
    2016/06/16 11:00:00 428.702500 
    2016/06/16 11:15:00 428.702500 
    2016/06/16 11:30:00 428.704250 
    2016/06/16 11:45:00 428.702500 
    2016/06/16 12:00:00 428.703660 
    2016/06/16 12:15:00 428.701910 
    2016/06/16 12:30:00 428.703660 
    2016/06/16 12:45:00 428.703660 
    2016/06/16 13:00:00 428.703660 
    2016/06/16 13:15:00 428.703660 
    2016/06/16 13:30:00 428.705660 
    2016/06/16 13:45:00 428.703910 
    2016/06/16 14:00:00 428.705080 
    2016/06/16 14:15:00 428.711160 
    2016/06/16 14:30:00 428.716160 
    2016/06/16 14:45:00 428.717910 
    2016/06/16 15:00:00 428.721410 
    2016/06/16 15:15:00 428.717330 
    2016/06/16 15:30:00 428.714410 
    2016/06/16 15:45:00 428.714660 
    2016/06/16 16:00:00 428.723160 
    2016/06/16 16:15:00 428.724910 
    2016/06/16 16:30:00 428.730160 
    2016/06/16 16:45:00 428.730160 
    2016/06/16 17:00:00 428.730410 
    2016/06/16 17:15:00 428.730410 
    2016/06/16 17:30:00 428.733910 
    2016/06/16 17:45:00 428.735410 
    2016/06/16 18:00:00 428.736000 
    2016/06/16 18:15:00 428.734500 
    2016/06/16 18:30:00 428.736000 
    2016/06/16 18:45:00 428.734000 
    2016/06/16 19:00:00 428.739500 
    2016/06/16 19:15:00 428.737750 
    2016/06/16 19:30:00 428.741830 
    2016/06/16 19:45:00 428.743330 
    2016/06/16 20:00:00 428.741000 
    2016/06/16 20:15:00 428.745080 
    2016/06/16 20:30:00 428.743580 
    2016/06/16 20:45:00 428.748580 
    2016/06/16 21:00:00 428.744500 
    2016/06/16 21:15:00 428.745080 
    2016/06/16 21:30:00 428.745080 
    2016/06/16 21:45:00 428.745080 
    2016/06/16 22:00:00 428.745080 
    2016/06/16 22:15:00 428.745080 
    2016/06/16 22:30:00 428.744830 
    2016/06/16 22:45:00 428.743660 
    2016/06/16 23:00:00 428.743660 
    2016/06/16 23:15:00 428.743660 
    2016/06/16 23:30:00 428.743660 
    2016/06/16 23:45:00 428.745410 
    2016/06/17 00:00:00 428.746000 
    2016/06/17 00:15:00 428.746000 
    2016/06/17 00:30:00 428.742500 
    2016/06/17 00:45:00 428.744250 
    2016/06/17 01:00:00 428.744250 
    2016/06/17 01:15:00 428.744250 
    2016/06/17 01:30:00 428.744830 
    2016/06/17 01:45:00 428.744830 
    2016/06/17 02:00:00 428.744830 
    2016/06/17 02:15:00 428.743080 
    2016/06/17 02:30:00 428.743080 
    2016/06/17 02:45:00 428.743080 
    2016/06/17 03:00:00 428.744830 
    2016/06/17 03:15:00 428.746580 
    2016/06/17 03:30:00 428.748910 
